RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
WR1200N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|12/21/2021|10:15|0.3||||||WR|WR|RTWD|
WR1160N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||160|12/17/2020|10:55|0.3||||||WR|WR|RTWD|
WR1207N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||41|02/22/2022|10:10|0.3||||||WR|WR|RTWD|
WR1210N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|03/24/2022|10:14|0.3||||||WR|WR|RTWD|
WR1133N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||30|04/08/2020|11:35|0.3||||||WR|WR|RTWD|
WR1230N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||31|09/12/2022|09:55|0.3||||||WR|WR|RTWD|
L106610|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||150|07/23/2012|11:50|0.3||||||LC|LC|RT|
L096436|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||93|09/01/2009|11:55|0.3||||||LC|LC|RT|
1478382|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||31|12/04/2014|11:12|0.3||||||WC|FO|RT|
L068995|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||230|07/01/2002|13:10|0.33||||||LC|LC|RT|
L064180|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||410|09/05/2001|12:45|0.33||||||LC|LC|RT|
10015006|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)|<|10|03/27/2007|12:02|0.3||||||WC|FO|RT|
L092530|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||330|11/05/2008|11:30|0.3||||||LC|LC|RT|
10139016|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||30|12/16/2008|10:49|0.3||||||WC|FO|RT|
1563001|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|09/28/2016|10:58|0.3||||||WC|FO|RT|Chloride, Fluoride, Sulfate not analyzed due to lab error.  Ammonia not reported due to lab error.
1748709|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||41|09/24/2019|11:50|0.3||||||WC|FO|RT|
1833434|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||4400|02/01/2022|10:43|0.3||||||WC|FO|RT|
WR1218N|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)|<|10|05/17/2022|11:50|0.3||||||WR|WR|RTWD|
WR1224N|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||30|07/12/2022|11:03|0.3||||||WR|WR|RTWD|
TX101680|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||110|01/18/2024|10:42|0.3||||||TX|WR|RT|Parameter 00620 should be reported as ≤ instead of <
WR1183N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|07/27/2021|10:15|0.3||||||WR|WR|RTWD|
WR1203N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|01/25/2022|10:42|0.3||||||WR|WR|RTWD|
WR1190N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)|<|10|09/27/2021|10:22|0.3||||||WR|WR|RTWD|
L101629|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||510|01/04/2011|12:15|0.3||||||LC|LC|RT|
L098148|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||20|03/10/2010|09:55|0.3||||||LC|LC|RT|
R201391|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||98|03/26/2002|09:25|0.3||||||WC|FO|RT|CLOUDY, COLD, WINDY, WATER BROWN.
R225460|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||20|06/22/2005|10:53|0.304878||||||WC|FO|RT|WINDS SE AT 3 - 5 MPH. MOSTLY CLEAR SKIES, WATER TURBID BROWN, MUDDY W/LIGHT BRIDGE TRAFFIC. SWALLOWS PRESENT.
1342328|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|09/27/2012|11:34|0.3||||||WC|FO|RT|
1403240|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||41|04/03/2013|11:05|0.3||||||WC|FO|RT|
L073666|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||23|07/02/2003|11:50|0.33||||||LC|LC|RT|
10091822|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|12/19/2007|11:30|0.3||||||WC|FO|RT|
WR1164N|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||52|01/27/2021|11:45|0.3||||||WR|WR|RTWD|
WR1214N|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||20|04/20/2022|10:38|0.3||||||WR|WR|RTWD|
WR1110N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|08/27/2019|11:18|0.3||||||WR|WR|RTWD|Dead fish on dock
WR1173N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||41|04/26/2021|11:06|0.3||||||WR|WR|RTWD|
L102718|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||130|05/02/2011|11:55|0.3||||||LC|LC|RT|
L105048|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||2000|01/12/2012|09:55|0.3||||||LC|LC|RT|
L105604|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)|<|10|03/06/2012|10:40|0.3||||||LC|LC|RT|
L104414|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||62|11/01/2011|12:00|0.3||||||LC|LC|RT|
R198132|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||132|09/18/2001|08:30|0.3||||||WC|FO|RT|SUNNY, CALM, HIGH TIDE, H2O CLEAR COFFEE/TEA COLOR (DARK).  DEAD ALLIGATOR JUSTUPSTREAM OF SAMPLE SITE IN THE WATER.
1331619|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|07/05/2012|11:02|0.3||||||WC|FO|RT|
L070835|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||6900|11/05/2002|12:45|0.33||||||LC|LC|RT|
L070861|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||24000|09/09/2002|14:05|0.33||||||LC|LC|RT|
L083165|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||62|11/01/2005|12:55|0.3||||||LC|LC|RT|
L076393|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||1000|05/04/2004|12:30|0.34||||||LC|LC|RT|
L085468|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||290|11/01/2006|12:20|0.3||||||LC|LC|RT|
L087695|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||86|09/05/2007|12:05|0.3||||||LC|LC|RT|
L089636|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||41|05/14/2008|11:50|0.3||||||LC|LC|RT|
10231848|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||50|06/11/2009|10:30|0.3||||||WC|FO|RT|
L095577|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||54|07/15/2009|12:40|0.3||||||LC|LC|RT|
11987230|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||80|01/13/2010|10:15|0.3||||||WC|FO|RT|
12484689|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||660|09/23/2010|10:22|0.3||||||WC|FO|RT|
12663210|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||70|12/16/2010|10:43|0.3||||||WC|FO|RT|
1278896|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)|<|10|09/28/2011|10:58|0.3||||||WC|FO|RT|
1602561|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||31|06/15/2017|11:43|0.3||||||WC|FO|RT|
1756619|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||120|04/07/2021|11:30|0.3||||||WC|FO|RT|
1681776|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||96|01/08/2019|11:16|0.3||||||WC|FO|RT|
WR1204N|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|01/25/2022|11:00|0.3||||||WR|WR|RTWD|
WR1109N|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)|<|10|08/27/2019|11:35|0.3||||||WR|WR|RTWD|
TX101665|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||20|08/02/2023|08:51|0.3||||||TX|WR|RT|
1930795|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|10/17/2023|11:18|0.3||||||WC|FO|RT|Our 3 sediment grabs were uniformly dark grey silt with strong H2S odor
TX101693|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|05/15/2024|10:59|0.3||||||TX|WR|RT|
WR1143N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||1500|07/29/2020|11:58|0.3||||||WR|WR|RTWD|
WR1125N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)|<|10|01/15/2020|11:13|0.3||||||WR|WR|RTWD|
WR1129N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)|<|10|02/12/2020|11:15|0.3||||||WR|WR|RTWD|
WR1115N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||50|10/15/2019|11:25|0.3||||||WR|WR|RTWD|
WR1167N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||130|03/01/2021|11:15|0.3||||||WR|WR|RTWD|
WR1177N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||190|05/24/2021|10:25|0.3||||||WR|WR|RTWD|
WR1213N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|04/20/2022|10:24|0.3||||||WR|WR|RTWD|
WR1233N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||41|10/05/2022|10:21|0.3||||||WR|WR|RTWD|
L106084|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||52|05/08/2012|11:45|0.3||||||LC|LC|RT|
L098767|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||20|05/03/2010|11:55|0.3||||||LC|LC|RT|
L099667|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||20|07/06/2010|12:15|0.3||||||LC|LC|RT|
R195801|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||85|06/21/2001|10:20|0.3||||||WC|FO|RT|SUNNY, HOT, H2O GREENISH BROWN.  LIGHT TRAFFIC.  HIGH TIDE.  SURFACE SCUM PRESENT.
R200081|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||428|01/10/2002|09:17|0.3||||||WC|FO|RT|M. CLOUDY,  CALM, LOW TIDE.  H20 VERY TURBID AND BROWN.
R209221|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||369|03/25/2003|10:52|0.3||||||WC|FO|RT|M. CLOUDY, SW 15-20, WARM.  H20 LIGHT, MUDDY BROWN AND TURBID.  MODERATE BRIDGETRAFFIC.
1356346|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||30|01/07/2013|11:05|0.3||||||WC|FO|RT|
1414929|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||20|06/11/2013|10:45|0.3||||||WC|FO|RT|
L073582|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||310|05/07/2003|11:45|0.33||||||LC|LC|RT|
L078483|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||110|11/10/2004|12:15|0.33||||||LC|LC|RT|
L080888|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||210|07/05/2005|13:45|0.3||||||LC|LC|RT|
L083903|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||379|05/17/2006|12:30|0.33||||||LC|LC|RT|
L089546|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||52|03/03/2008|13:20|0.3||||||LC|LC|RT|
L091469|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)|<|1|07/15/2008|11:55|0.3||||||LC|LC|RT|
L092047|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||86|09/03/2008|12:35|0.3||||||LC|LC|RT|
L089475|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|01/02/2008|12:50|0.3||||||LC|LC|RT|
12069486|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||20|03/10/2010|11:00|0.3||||||WC|FO|RT|
11889017|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||460|09/09/2009|10:27|0.3||||||WC|FO|RT|
12318587|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||41|06/28/2010|10:26|0.3||||||WC|FO|RT|
WR1106N|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||50|07/10/2019|11:36|0.3||||||WR|WR|RTWD|
WR1194N|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||400|10/25/2021|10:45|0.3||||||WR|WR|RTWD|
WR1174N|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|04/26/2021|11:25|0.3||||||WR|WR|RTWD|
WR1134N|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||20|04/08/2020|12:05|0.3||||||WR|WR|RTWD|
1845436|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||97|05/16/2023|11:37|0.3||||||WC|FO|RT|
TX101658|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||41|07/06/2023|08:22|0.3||||||TX|WR|RT|
